edge_id,source,target,source_original,target_original,connectivity_weight,metric_length,n_cells
0,0,230,2,504,2,1,1
1,1,230,3,504,4,1,1
2,2,7,4,12,2,1,1
3,2,8,4,13,2,1,1
4,2,9,4,14,2,1,1
5,2,11,4,16,3,1,1
6,2,36,4,70,3.5,1,1
7,2,39,4,73,5,1,1
8,2,230,4,504,8,1,1
9,3,230,7,504,8,1,1
10,4,230,8,504,3,1,1
11,5,230,9,504,2,1,1
12,6,229,11,503,3,1,1
13,6,230,11,504,7,1,1
14,7,11,12,16,2,1,1
15,7,17,12,35,2,1,1
16,7,18,12,36,3,1,1
17,7,230,12,504,9,1,1
18,8,17,13,35,3,1,1
19,8,18,13,36,2,1,1
20,8,19,13,40,2,1,1
21,8,20,13,41,2,1,1
22,8,39,13,73,2,1,1
23,9,17,14,35,2,1,1
24,9,39,14,73,2,1,1
25,9,229,14,503,3,1,1
26,9,230,14,504,12,1,1
27,10,230,15,504,5,1,1
28,11,13,16,28,2,1,1
29,11,17,16,35,2,1,1
30,11,20,16,41,3,1,1
31,11,39,16,73,2,1,1
32,11,44,16,81,3,1,1
33,11,229,16,503,4,1,1
34,11,230,16,504,16,1,1
35,12,40,27,76,2,1,1
36,12,41,27,77,2,1,1
37,13,39,28,73,3,1,1
38,13,41,28,77,4,1,1
39,13,42,28,78,3,1,1
40,13,229,28,503,4,1,1
41,13,230,28,504,11,1,1
42,14,229,29,503,4,1,1
43,14,230,29,504,6,1,1
44,15,229,31,503,2,1,1
45,16,229,33,503,2,1,1
46,17,32,35,63,3,1,1
47,17,34,35,66,4,1,1
48,17,36,35,70,5,1,1
49,17,39,35,73,6,1,1
50,17,230,35,504,3,1,1
51,18,39,36,73,3,1,1
52,20,36,41,70,4,1,1
53,20,39,41,73,6,1,1
54,21,22,44,46,3,1,1
55,22,23,46,49,3,1,1
56,22,25,46,51,2,1,1
57,22,230,46,504,2,1,1
58,23,230,49,504,5,1,1
59,24,53,50,94,4,1,1
60,24,229,50,503,4,1,1
61,24,230,50,504,6,1,1
62,25,220,51,494,3,1,1
63,25,229,51,503,5,1,1
64,25,230,51,504,17,1,1
65,25,231,51,505,4,1,1
66,26,79,52,131,4,1,1
67,26,230,52,504,4,1,1
68,27,28,53,57,5,1,1
69,27,29,53,58,3,1,1
70,27,30,53,60,2,1,1
71,27,32,53,63,5,1,1
72,27,53,53,94,4,1,1
73,27,229,53,503,3,1,1
74,27,230,53,504,4,1,1
75,28,78,57,129,2,1,1
76,28,229,57,503,4,1,1
77,28,230,57,504,5,1,1
78,29,30,58,60,3,1,1
79,29,230,58,504,4.5,1,1
80,30,32,60,63,5,1,1
81,30,34,60,66,5,1,1
82,30,36,60,70,6,1,1
83,30,39,60,73,3,1,1
84,30,230,60,504,6,1,1
85,31,36,61,70,4,1,1
86,32,36,63,70,2,1,1
87,32,39,63,73,2,1,1
88,32,229,63,503,3,1,1
89,32,230,63,504,5,1,1
90,33,45,65,82,3,1,1
91,34,45,66,82,3,1,1
92,34,229,66,503,3,1,1
93,34,230,66,504,6,1,1
94,35,36,68,70,2,1,1
95,35,39,68,73,3,1,1
96,36,229,70,503,3,1,1
97,36,230,70,504,9,1,1
98,37,45,71,82,3,1,1
99,38,44,72,81,3,1,1
100,39,44,73,81,2,1,1
101,39,229,73,503,3,1,1
102,39,230,73,504,17,1,1
103,40,230,76,504,4,1,1
104,41,230,77,504,6,1,1
105,42,44,78,81,4,1,1
106,42,230,78,504,4,1,1
107,43,44,79,81,3,1,1
108,44,47,81,84,3,1,1
109,44,48,81,87,2,1,1
110,44,230,81,504,3,1,1
111,45,48,82,87,6,1,1
112,45,50,82,90,2,1,1
113,45,52,82,93,3,1,1
114,45,53,82,94,4,1,1
115,45,230,82,504,3,1,1
116,46,48,83,87,2,1,1
117,46,52,83,93,2,1,1
118,48,49,87,89,2,1,1
119,48,50,87,90,3,1,1
120,49,52,89,93,3,1,1
121,49,54,89,95,2,1,1
122,50,52,90,93,7,1,1
123,50,53,90,94,5,1,1
124,50,54,90,95,3,1,1
125,50,55,90,98,2,1,1
126,50,56,90,99,2,1,1
127,50,59,90,103,4,1,1
128,50,229,90,503,2,1,1
129,51,54,91,95,2,1,1
130,51,58,91,102,2,1,1
131,53,55,94,98,3,1,1
132,53,59,94,103,2,1,1
133,53,78,94,129,3,1,1
134,53,229,94,503,6,1,1
135,53,230,94,504,4,1,1
136,54,55,95,98,4.5,1,1
137,55,58,98,102,5,1,1
138,55,59,98,103,6,1,1
139,56,58,99,102,4,1,1
140,56,59,99,103,5,1,1
141,56,60,99,104,5,1,1
142,56,64,99,110,3,1,1
143,56,65,99,111,4,1,1
144,57,58,100,102,2,1,1
145,59,65,103,111,2,1,1
146,59,229,103,503,4,1,1
147,61,64,106,110,3,1,1
148,62,64,107,110,5,1,1
149,62,65,107,111,5,1,1
150,62,76,107,127,3,1,1
151,62,229,107,503,1,1,1
152,63,64,108,110,2,1,1
153,63,65,108,111,2,1,1
154,63,68,108,114,4,1,1
155,65,76,111,127,10,1,1
156,65,77,111,128,3,1,1
157,65,92,111,159,2,1,1
158,65,229,111,503,4,1,1
159,65,230,111,504,3,1,1
160,66,76,112,127,7,1,1
161,66,230,112,504,3,1,1
162,67,70,113,117,3,1,1
163,69,71,116,119,2,1,1
164,70,71,117,119,5,1,1
165,70,72,117,120,6,1,1
166,72,99,120,172,3,1,1
167,73,75,121,126,3,1,1
168,73,76,121,127,8,1,1
169,73,229,121,503,3,1,1
170,73,230,121,504,6,1,1
171,74,75,124,126,3,1,1
172,74,76,124,127,7,1,1
173,74,77,124,128,4,1,1
174,74,229,124,503,3,1,1
175,74,230,124,504,5,1,1
176,75,230,126,504,6,1,1
177,76,79,127,131,8,1,1
178,76,84,127,145,5,1,1
179,76,85,127,146,3,1,1
180,76,113,127,189,3,1,1
181,76,219,127,493,4,1,1
182,76,220,127,494,6,1,1
183,76,229,127,503,9.5,1,1
184,76,230,127,504,25,1,1
185,76,231,127,505,3,1,1
186,77,79,128,131,6,1,1
187,77,220,128,494,4,1,1
188,77,229,128,503,4,1,1
189,77,230,128,504,10,1,1
190,78,79,129,131,5,1,1
191,78,229,129,503,3,1,1
192,78,230,129,504,6,1,1
193,79,92,131,159,4,1,1
194,79,229,131,503,5,1,1
195,79,230,131,504,7,1,1
196,80,81,132,138,2,1,1
197,80,83,132,144,3,1,1
198,80,230,132,504,2,1,1
199,82,83,141,144,2,1,1
200,82,84,141,145,3,1,1
201,82,85,141,146,4,1,1
202,82,86,141,147,2,1,1
203,82,229,141,503,3,1,1
204,82,230,141,504,6,1,1
205,83,92,144,159,8,1,1
206,83,126,144,205,3,1,1
207,83,219,144,493,2,1,1
208,83,229,144,503,4,1,1
209,83,230,144,504,12,1,1
210,83,231,144,505,4,1,1
211,84,91,145,158,3,1,1
212,84,92,145,159,6,1,1
213,84,213,145,487,3,1,1
214,84,214,145,488,3,1,1
215,84,230,145,504,21,1,1
216,85,87,146,151,2,1,1
217,85,92,146,159,11,1,1
218,85,230,146,504,7,1,1
219,86,87,147,151,3,1,1
220,86,92,147,159,9,1,1
221,86,229,147,503,3,1,1
222,86,230,147,504,4,1,1
223,87,219,151,493,4,1,1
224,87,230,151,504,15,1,1
225,88,230,153,504,7,1,1
226,89,93,154,161,3,1,1
227,89,230,154,504,14,1,1
228,90,92,155,159,5,1,1
229,90,138,155,250,9,1,1
230,90,228,155,502,5,1,1
231,90,229,155,503,3,1,1
232,90,230,155,504,29,1,1
233,90,231,155,505,5,1,1
234,91,230,158,504,9,1,1
235,92,94,159,162,5,1,1
236,92,100,159,176,5,1,1
237,92,102,159,178,3,1,1
238,92,103,159,179,6,1,1
239,92,116,159,192,2,1,1
240,92,141,159,255,6,1,1
241,92,143,159,258,5,1,1
242,92,228,159,502,4,1,1
243,92,229,159,503,8,1,1
244,92,230,159,504,42,1,1
245,92,231,159,505,8,1,1
246,94,101,162,177,2,1,1
247,94,102,162,178,5,1,1
248,94,103,162,179,3,1,1
249,94,230,162,504,5,1,1
250,95,97,163,165,3,1,1
251,95,99,163,172,2,1,1
252,95,101,163,177,2,1,1
253,96,102,164,178,4,1,1
254,97,99,165,172,4,1,1
255,97,102,165,178,6,1,1
256,98,99,166,172,3,1,1
257,100,143,176,258,2,1,1
258,103,133,179,229,3,1,1
259,103,134,179,231,2,1,1
260,103,138,179,250,3,1,1
261,103,143,179,258,4,1,1
262,104,229,180,503,16,1,1
263,104,230,180,504,5,1,1
264,104,232,180,506,3,1,1
265,105,229,181,503,6,1,1
266,105,230,181,504,11,1,1
267,106,229,182,503,12,1,1
268,106,230,182,504,4,1,1
269,106,460,182,1009,3,1,1
270,107,229,183,503,4,1,1
271,107,230,183,504,6,1,1
272,108,229,184,503,13,1,1
273,108,460,184,1009,2,1,1
274,109,229,185,503,4,1,1
275,110,229,186,503,5,1,1
276,111,229,187,503,4,1,1
277,112,229,188,503,9,1,1
278,113,229,189,503,6,1,1
279,114,229,190,503,4,1,1
280,114,230,190,504,3,1,1
281,115,229,191,503,7,1,1
282,116,229,192,503,4,1,1
