edge_id,source,target,fine_edges,fibre_number,fibre_length_mm,connectivity_weight
0,79,81,1,2,18.615379,0.107438048938
1,79,76,1,2,14.200012,0.140844951399
2,79,80,1,6,25.211765,0.237984131615
3,79,78,1,2,13.166669,0.151898707258
4,79,77,1,2,14.800001,0.135135126004
5,79,75,1,5,14.890911,0.335775292727
6,79,53,5,8.5,42.7322248,0.195287127258
7,79,49,1,1,37.900002,0.026385222882
8,79,74,3,3.5,20.8833306667,0.170931655358
9,79,55,4,8,104.05275975,0.0774136100389
10,79,41,13,21,24.4344897692,0.912597848873
11,79,44,9,12.5,24.8248183333,0.566315584933
12,79,46,1,1,34.599995,0.0289017382806
13,79,45,2,2,38.5750085,0.0542850996482
14,79,54,7,17.5,67.2619042857,0.261687825101
15,79,52,5,11,23.0628526,0.513187614924
16,79,47,9,11,45.1592642222,0.244738721948
17,79,48,3,3,45.250006,0.0689885536081
18,79,82,1,4,27.95,0.143112701252
19,79,38,1,1,12.499997,0.0800000192
20,79,40,1,1,20.4,0.0490196078431
21,79,35,1,3,15.123077,0.198372328594
22,79,39,1,1,29.400007,0.0340135973437
23,79,37,1,2,14.68,0.136239782016
24,79,36,1,1,27.20001,0.0367646923659
25,79,34,1,2,22.100006,0.090497712987
26,79,13,4,7,34.75937375,0.207274916084
27,79,11,2,3,17.5000075,0.169934542505
28,81,76,1,3,25.4,0.11811023622
29,81,80,1,4,17.974998,0.222531318223
30,81,78,1,2,12.433336,0.160857874347
31,81,77,1,10,14.700004,0.680271923736
32,81,75,1,6,19.000004,0.315789407202
33,81,71,4,5,48.512501,0.103116956597
34,81,49,2,2.5,48.3499965,0.0518792079598
35,81,67,3,4,12.8600003333,0.313785813634
36,81,65,5,6.5,20.7900042,0.40469808398
37,81,59,7,8.5,64.7190505714,0.129865693509
38,81,69,5,8,22.4966658,0.502204081046
39,81,74,14,29.5,20.4853752143,1.72834220464
40,81,63,1,3,59.000008,0.0508474507325
41,81,41,6,6,21.1583303333,0.30243153927
42,81,64,1,1,48.799988,0.0204918083177
43,81,44,1,1,20.600002,0.0485436846074
44,81,70,7,8,27.232141,0.39992335757
45,81,66,2,2,28.300003,0.0757089423535
46,81,50,1,1,49.400028,0.020242903506
47,81,58,1,1,69.400002,0.0144092214868
48,81,72,11,14,21.89091,0.762897832524
49,81,57,1,1,64.400024,0.0155279445237
50,81,68,3,7,15.3736116667,0.455112782196
51,81,73,3,4,31.7222233333,0.125376071333
52,81,82,1,1,14.399999,0.069444449267
53,81,38,1,1,18.399994,0.0543478438091
54,76,80,1,7,26.199997,0.267175603112
55,76,78,1,48,16.476736,2.9131983422
56,76,77,1,54,18.775046,2.8761580664
57,76,75,1,25,15.337581,1.62998324182
58,76,53,5,51,13.054354,3.93914578186
59,76,49,13,56,23.9278454615,2.66777054353
60,76,43,1,1,45.400005,0.0220264292922
61,76,59,2,2,72.100031,0.0294338443469
62,76,74,9,11,17.7097874444,0.683484616416
63,76,55,7,19,19.5895251429,1.02394827731
64,76,41,15,30,21.7104474667,1.41227434555
65,76,44,10,23,24.6289907,1.20960900898
66,76,51,5,5,41.4200008,0.133768806421
67,76,46,10,25.5,26.866017,0.997033894999
68,76,42,1,1,36.400013,0.0274725176609
69,76,45,7,10,29.7114315714,0.381551162696
70,76,56,20,33.5,30.3061051,1.163832405
71,76,54,9,41,13.490237,3.11238447759
72,76,50,30,67.5,30.1658686667,2.5307692672
73,76,60,10,14.5,56.7950121,0.375261275895
74,76,52,5,52,18.4397542,3.10800492108
75,76,47,25,53,29.8297992,1.94244524978
76,76,48,44,98.5,32.3206803864,3.33798947631
77,76,58,15,18,45.6794471333,0.48994704789
78,76,72,1,1,21.000002,0.0476190430839
79,76,57,15,34,30.3926301333,1.20296721782
80,76,73,1,1,16.300006,0.0613496706688
81,76,82,1,1,32.20001,0.0310558909764
82,76,38,1,2,13.636667,0.146663403895
83,76,35,1,156,22.022459,7.08367762201
84,76,39,1,2,41.933342,0.0476947437197
85,76,37,1,1,16.100002,0.0621117935265
86,76,36,1,3,47.024994,0.0637958614094
87,76,34,1,3,25.999992,0.115384650888
88,76,12,6,8,14.629563,0.54650923955
89,76,8,1,1,45.099998,0.0221729499855
90,76,33,2,2,48.4500035,0.0418086880263
91,76,14,5,6,28.6399984,0.214821179872
92,76,0,1,1.5,39.400007,0.038071059226
93,76,5,1,1,49.20002,0.0203251949898
94,76,4,1,1,46.566665,0.0214745891723
95,76,13,5,5,22.986668,0.258904000842
96,76,11,4,8,19.75000075,0.444605842767
97,76,6,1,2,52.933334,0.037783374839
98,76,16,1,1,65.799976,0.0151975739322
99,80,78,1,3,15.599998,0.192307716963
100,80,77,1,10,16.96,0.589622641509
101,80,75,1,56,15.487691,3.6157746174
102,80,71,6,22,28.6447535,0.783394936809
103,80,53,5,8.5,87.6733254,0.0968505617515
104,80,49,6,9,69.1944535,0.137676375766
105,80,61,1,2,23.999996,0.0833333472222
106,80,67,3,6,17.1266683333,0.354819414091
107,80,65,18,22.5,22.9113071111,1.1333123777
108,80,59,20,40.5,44.3979571,1.02481079869
109,80,69,16,22,20.846236,1.04859197627
110,80,74,14,36,33.055838,1.81762443592
111,80,55,7,18,20.7828518571,1.02126075108
112,80,63,12,19,44.5180580833,0.484562930204
113,80,41,2,3,117.970006,0.0257937302171
114,80,64,9,11,21.7185191111,0.626197667978
115,80,44,1,2,27.000004,0.0740740631001
116,80,70,16,23,24.8709411875,0.993083577856
117,80,66,6,9,13.2194446667,0.699136974889
118,80,46,7,13,76.5006678571,0.172147704392
119,80,45,3,5,97.133358,0.0520495481726
120,80,62,2,2,43.0000105,0.0500279028582
121,80,56,4,7,58.54833325,0.122524750696
122,80,54,8,15,49.697916375,0.331661444787
123,80,50,13,22,63.7982076923,0.346050033672
124,80,60,11,17,28.2862168182,0.705487543068
125,80,52,5,10.5,110.7559954,0.0941294855817
126,80,47,3,3,97.2815016667,0.0312213538292
127,80,58,12,18.5,49.6247085,0.381561232077
128,80,72,20,50,24.80607255,2.38869634775
129,80,57,18,29.5,40.4562177778,0.772514814646
130,80,68,3,6,29.288888,0.204988958072
131,80,73,3,6,20.416663,0.292808881026
132,80,82,1,2,12.900002,0.155038735653
133,80,38,1,1,27.999992,0.0357142959184
134,80,35,1,1,37.164291,0.0269075495077
135,80,39,1,2,28.414811,0.0703858280106
136,80,37,1,1,37.599987,0.0265957538762
137,80,34,1,2,28.800003,0.0694444372106
138,80,14,4,5,19.1958295,0.261924229317
139,80,16,1,2,49.066661,0.0407608742727
140,78,77,1,4,14.866668,0.269058271833
141,78,75,1,11,14.449999,0.761245727422
142,78,71,2,2,34.0999945,0.0587364018841
143,78,53,5,5,37.6300004,0.134914608448
144,78,49,11,17,39.6671811818,0.45889625552
145,78,59,9,14.5,51.1849231111,0.281686241554
146,78,74,14,18,22.9042858571,0.893916180244
147,78,55,6,9,40.6750065,0.218974292103
148,78,41,6,8.5,46.3777766667,0.185920321835
149,78,44,4,4,40.22499625,0.125321679745
150,78,51,5,7,43.629004,0.169970399161
151,78,46,9,13,34.7629652222,0.377991447503
152,78,45,1,1,39.999996,0.0250000025
153,78,56,18,32,45.4185908889,0.724162280198
154,78,54,9,16,35.6312976667,0.451120591677
155,78,50,30,63.5,44.9339004333,1.48325092193
156,78,60,7,11.5,49.0285704286,0.239085880942
157,78,52,5,7,40.8266672,0.169745626916
158,78,47,17,20.5,46.6435616471,0.450002785455
159,78,48,22,23.5,50.5656109091,0.488644198371
160,78,58,17,32.5,55.1396308824,0.617529078253
161,78,72,2,4,25.717508,0.156396463611
162,78,57,13,20,46.4192323077,0.432464602322
163,78,73,2,3,19.450002,0.150836788789
164,78,82,1,1,20.700001,0.0483091764102
165,78,38,1,1,12.999997,0.0769230946746
166,78,40,1,1,26.100003,0.0383141718413
167,78,35,1,1,44.600004,0.0224215226528
168,78,39,1,1,37.700001,0.0265251982354
169,78,37,1,2,19.95556,0.100222694828
170,78,36,1,1,26.799997,0.0373134370127
171,78,34,1,1,14.733335,0.0678732954894
172,77,75,1,21,15.956267,1.31609730522
173,77,71,5,6,32.8306682,0.186813767398
174,77,53,5,14,27.5693302,0.50968684632
175,77,49,13,81,31.5838781538,3.24628199598
176,77,67,3,3,20.4666663333,0.149734167813
177,77,43,2,3,54.72498,0.0555310635846
178,77,65,8,8.5,46.996876375,0.24730368608
179,77,59,20,53,52.17125355,1.06427725287
180,77,69,4,5.5,29.6750055,0.186173345665
181,77,74,17,53,14.5588891176,3.64356297174
182,77,55,7,9,38.047623,0.236790918898
183,77,63,8,17,60.347619125,0.295938650729
184,77,41,15,71,24.4677155333,3.01495878411
185,77,64,5,5,48.9924934,0.110220454345
186,77,44,10,34,30.9636498,1.21136510001
187,77,70,3,4.5,34.2870286667,0.125158253181
188,77,51,7,12,43.4095235714,0.289546833535
189,77,66,1,1,52.259998,0.0191350944943
190,77,46,10,30,26.6441113,1.31895066871
191,77,42,2,2,55.509995,0.0383267457535
192,77,45,7,9,40.6066654286,0.261760987247
193,77,62,1,1,58.766689,0.0170164427674
194,77,56,26,76.5,41.1043706538,2.08089687123
195,77,54,9,22,31.5480705556,0.71810003705
196,77,50,32,201.5,36.458308375,6.26859796385
197,77,60,15,26,49.5713048667,0.535730795126
198,77,52,5,35.5,31.1844918,1.10412097939
199,77,47,26,93,38.3577017308,2.49004381045
200,77,48,40,81,43.901948375,1.93085842457
201,77,58,20,56.5,52.7757915,1.18079910254
202,77,72,10,15,22.8033294,0.687812599147
203,77,57,20,32.5,44.3334212,0.786041143426
204,77,68,3,3,29.3833376667,0.103294070488
205,77,73,2,4,16.921796,0.234872738176
206,77,82,1,1,23.866669,0.0418994372445
207,77,35,1,2,47.855884,0.0417921440966
208,77,36,1,1,73,0.013698630137
209,77,34,1,1,58.900002,0.0169779281162
210,77,12,1,1,33.399998,0.0299401215533
211,77,11,2,2.5,38.425005,0.0648673105384
212,75,71,4,6,29.12500725,0.207335512883
213,75,53,5,8,55.149011,0.14873769062
214,75,49,11,14.5,37.7681804545,0.404682779411
215,75,65,2,2,21.0000025,0.0976494255529
216,75,59,13,16.5,40.6602533077,0.427763763978
217,75,69,1,1,40.600033,0.024630521852
218,75,74,15,24,29.7815589333,1.13862156265
219,75,55,7,19,19.6677362857,0.992356536541
220,75,63,2,2,53.9999695,0.0375647098004
221,75,41,2,2.5,75.8249965,0.0328179596504
222,75,64,2,2,25.424997,0.0923068822608
223,75,44,1,2,16.700006,0.119760436014
224,75,70,1,1,25.100002,0.0398406342756
225,75,51,6,8,33.2754146667,0.25876719314
226,75,66,2,2,14.933333,0.13409962093
227,75,46,6,7.5,53.2166683333,0.153854235147
228,75,45,2,2,75.6499845,0.0265061996465
229,75,62,1,1,49.600002,0.0201612895096
230,75,56,23,46.5,38.8863805652,1.25761441414
231,75,54,9,24,23.8081471111,1.05777343027
232,75,50,29,79.5,39.2795247241,2.17301864665
233,75,60,14,18.5,36.012252,0.530668185876
234,75,52,5,8,90.1133458,0.090560940142
235,75,47,7,7.5,61.6142911429,0.128102584911
236,75,48,14,14,44.7154823571,0.326392290338
237,75,58,19,37,44.0550058947,0.921257868654
238,75,72,5,7,21.244998,0.370098213261
239,75,57,16,30,34.4328090625,0.912426122718
240,75,73,3,4,15.3466726667,0.261125569842
241,75,82,1,49,16.286222,3.00867813296
242,75,38,1,2,17.599997,0.113636383006
243,75,40,1,1,27.000002,0.0370370342936
244,75,35,1,6,27.745456,0.216251626933
245,75,39,1,4,29.44524,0.135845386215
246,75,37,1,2,17.200001,0.116279063007
247,75,36,1,1,57.516665,0.0173862653546
248,75,34,1,25,21.569382,1.15905036129
249,75,12,1,1,18.000002,0.0555555493827
250,75,33,3,4.5,46.4777776667,0.0990455148046
251,75,14,5,10,19.006666,0.529877776679
252,75,13,4,7,16.45833475,0.428157736879
253,75,16,3,5,59.1559886667,0.0855375565445
254,71,49,1,1,64.783334,0.0154360687889
255,71,67,8,14,53.3495855,0.263627360185
256,71,65,71,109.5,28.218330493,4.51856618543
257,71,59,45,61,22.9367041778,2.8596576384
258,71,69,71,128.5,32.0599485775,5.29633765811
259,71,74,19,33.5,31.1855507895,1.24617149578
260,71,55,1,1,29.3,0.0341296928328
261,71,63,15,20.5,26.0272194,0.940577620604
262,71,64,14,21.5,22.2774994286,1.02162251326
263,71,70,60,83.5,30.6521464,3.55452759308
264,71,66,16,24,28.134482125,0.923468120057
265,71,62,3,3,30.3999876667,0.100322938816
266,71,50,4,4,54.90002775,0.0733743206864
267,71,60,5,8,30.1200082,0.29938709598
