node_id,source_id,name,hemisphere,region,x,y,z
0,1,ctx-rh-lateralorbitofrontal,right,cortical,16.4566420469,48.5391466733,7.75627136297
1,2,ctx-rh-parsorbitalis,right,cortical,34.4978523812,56.6201693079,11.2962528305
2,3,ctx-rh-frontalpole,right,cortical,8.41425177838,82.5056464204,16.1698230682
3,4,ctx-rh-medialorbitofrontal,right,cortical,3.60352535527,56.0269999824,8.16652324545
4,5,ctx-rh-parstriangularis,right,cortical,39.3197041944,45.5401738383,24.3410993254
5,6,ctx-rh-parsopercularis,right,cortical,41.3588220128,25.9498191301,29.1619481996
6,7,ctx-rh-rostralmiddlefrontal,right,cortical,29.2237226745,55.0337533516,38.7848418091
7,8,ctx-rh-superiorfrontal,right,cortical,9.94754941317,41.0848953703,54.4431973883
8,9,ctx-rh-caudalmiddlefrontal,right,cortical,27.2244691937,22.3615543361,56.0356564362
9,10,ctx-rh-precentral,right,cortical,31.1100054239,-1.25265162988,53.7570564236
10,11,ctx-rh-paracentral,right,cortical,8.05301040746,-19.0644775791,56.1498752574
11,12,ctx-rh-rostralanteriorcingulate,right,cortical,4.25705999865,53.4596535592,22.6205491499
12,13,ctx-rh-caudalanteriorcingulate,right,cortical,4.71622793001,29.3392461229,40.0628081567
13,14,ctx-rh-posteriorcingulate,right,cortical,5.80588441123,-8.58272652518,43.5352080783
14,15,ctx-rh-isthmuscingulate,right,cortical,6.42242582448,-30.3992359472,24.9054807297
15,16,ctx-rh-postcentral,right,cortical,34.556060968,-14.7522883453,50.9379367032
16,17,ctx-rh-supramarginal,right,cortical,44.5665942106,-26.5117194547,40.0997253039
17,18,ctx-rh-superiorparietal,right,cortical,21.5557797714,-51.2858022753,49.8241477731
18,19,ctx-rh-inferiorparietal,right,cortical,38.9868984688,-53.4940644396,33.9346587325
19,20,ctx-rh-precuneus,right,cortical,10.4267265856,-46.0561336772,39.1165022173
20,21,ctx-rh-cuneus,right,cortical,6.83564663282,-69.7951758297,20.998254755
21,22,ctx-rh-pericalcarine,right,cortical,11.1813507871,-65.1413921392,11.3224002047
22,23,ctx-rh-lateraloccipital,right,cortical,28.9215269349,-70.6473034547,3.88919071531
