region,fine_years,coarse_years
Brain-Stem,30.4036,25.6255
Left-Accumbens-area,33.0327,27.6376
Left-Amygdala,19.8281,17.6751
Left-Caudate,33.7418,25.8968
Left-Hippocampus,21.6378,18.3041
Left-Pallidum,33.5478,25.6904
Left-Putamen,23.7747,20.0299
Left-Thalamus-Proper,30.9789,24.1960
Right-Accumbens-area,32.8011,27.9161
Right-Amygdala,20.9389,18.9607
Right-Caudate,34.6028,26.7096
Right-Hippocampus,22.2127,18.7209
Right-Pallidum,33.6816,26.3558
Right-Putamen,33.4090,24.3017
Right-Thalamus-Proper,31.4458,24.7215
ctx-lh-bankssts,27.2238,17.4633
ctx-lh-caudalanteriorcingulate,37.8509,26.2982
ctx-lh-caudalmiddlefrontal,37.6850,24.0783
ctx-lh-cuneus,43.9757,22.3814
ctx-lh-entorhinal,4.1990,4.2609
ctx-lh-frontalpole,37.8197,29.8198
ctx-lh-fusiform,29.4026,15.7304
ctx-lh-inferiorparietal,34.1666,19.3774
ctx-lh-inferiortemporal,29.4163,15.9860
ctx-lh-insula,31.1336,17.6228
ctx-lh-isthmuscingulate,35.1707,24.3917
ctx-lh-lateraloccipital,37.7992,19.5855
ctx-lh-lateralorbitofrontal,36.4970,24.7144
ctx-lh-lingual,36.3433,20.5291
ctx-lh-medialorbitofrontal,37.1884,26.2220
ctx-lh-middletemporal,28.6850,16.1421
ctx-lh-paracentral,42.0668,25.0516
ctx-lh-parahippocampal,21.2123,16.3783
ctx-lh-parsopercularis,37.3621,24.1424
ctx-lh-parsorbitalis,42.4993,28.3547
ctx-lh-parstriangularis,39.4149,25.9610
ctx-lh-pericalcarine,38.7080,21.9863
ctx-lh-postcentral,38.7691,23.2159
ctx-lh-posteriorcingulate,37.2933,25.2427
ctx-lh-precentral,37.4942,22.8416
ctx-lh-precuneus,38.9020,22.6866
ctx-lh-rostralanteriorcingulate,37.2340,26.1349
ctx-lh-rostralmiddlefrontal,38.4760,24.2918
ctx-lh-superiorfrontal,40.1046,24.4765
ctx-lh-superiorparietal,39.1089,22.0905
ctx-lh-superiortemporal,27.2578,15.3652
ctx-lh-supramarginal,36.2407,21.6219
ctx-lh-temporalpole,18.9948,15.4597
ctx-lh-transversetemporal,30.3630,21.3478
ctx-rh-bankssts,32.6923,20.3842
ctx-rh-caudalanteriorcingulate,39.2096,27.6689
ctx-rh-caudalmiddlefrontal,43.6644,25.1091
ctx-rh-cuneus,46.6135,23.3673
ctx-rh-entorhinal,4.2011,4.2429
ctx-rh-frontalpole,45.9623,30.9350
ctx-rh-fusiform,32.6926,16.5631
ctx-rh-inferiorparietal,36.2549,20.4044
ctx-rh-inferiortemporal,30.9419,16.5559
ctx-rh-insula,33.0116,18.5060
ctx-rh-isthmuscingulate,35.5216,25.3796
ctx-rh-lateraloccipital,41.6890,20.5807
ctx-rh-lateralorbitofrontal,43.0784,25.4191
ctx-rh-lingual,41.3213,21.6711
ctx-rh-medialorbitofrontal,44.4597,27.6627
ctx-rh-middletemporal,30.6339,16.7593
ctx-rh-paracentral,46.6457,26.0306
ctx-rh-parahippocampal,21.5878,16.7626
ctx-rh-parsopercularis,41.4048,25.3385
ctx-rh-parsorbitalis,46.9332,27.8126
ctx-rh-parstriangularis,46.1301,26.9224
ctx-rh-pericalcarine,43.8084,22.7546
ctx-rh-postcentral,42.2689,24.1564
ctx-rh-posteriorcingulate,38.5324,26.2977
ctx-rh-precentral,41.0181,23.8807
ctx-rh-precuneus,39.8060,23.5763
ctx-rh-rostralanteriorcingulate,39.4773,27.8236
ctx-rh-rostralmiddlefrontal,46.2193,25.2545
ctx-rh-superiorfrontal,46.9065,25.4553
ctx-rh-superiorparietal,40.3662,23.2476
ctx-rh-superiortemporal,29.8460,16.0560
ctx-rh-supramarginal,37.9285,23.0433
ctx-rh-temporalpole,20.5888,16.5998
ctx-rh-transversetemporal,32.5098,22.5464
